campaignTitle,description,url,mainCategory,category,location,countryState,city,continent,valuta,creator,backed,comments,created,numSuccessfulCampaigns,numLiveCampaigns,pastSuccessRate,facebookFriends,goal,currency,campaignDuration,numCollaborators,totWordCount,mainVideo,numAdditionalVideos,numImages,viewGallery,success
Die Kamera,,https://www.kickstarter.com/projects/1001433890/die-kamera?ref=ending_soon,Film & Video,Webseries,"Vienna, Austria",Austria,Vienna,Europe,eur,Georg Melichar,0,2,1,0,0,0.5,737,58367.1,eur,29.95833333,0,253,1,0,0,0,0
"""Flores"" Documentary Film",,https://www.kickstarter.com/projects/100146151/flores-documentary-film?ref=ending_soon,Film & Video,Documentary,"Mexico City, Mexico",Mexico,Mexico City,North America,mxd,Francisco Viveros,1,2,1,1,0,0.5,2480,6994.52,mxd,59.95833333,0,1165,1,0,7,0,1
F(r)iction #7 - A Fine Art & Literature Collection,,https://www.kickstarter.com/projects/1002171905/friction-7-a-fine-art-and-literature-collection?ref=ending_soon,Publishing,Fiction,"Denver, CO",Colorado,Denver,North America,usd,Tethered by Letters,8,18,4,4,0,1,461,3000,usd,30,0,1371,1,0,12,0,1
Design Canada,,https://www.kickstarter.com/projects/1002969621/design-canada?ref=ending_soon,Design,Graphic Design,"Vancouver, Canada",Canada,Vancouver,North America,usd,Jessica Edwards,28,74,2,2,0,1,0,80000,usd,30.36871528,0,1040,1,0,34,0,1
New HyperKid Book - The Cyborg at the End of the Universe (Canceled),,https://www.kickstarter.com/projects/1003458897/new-hyperkid-book-the-cyborg-at-the-end-of-the-uni?ref=ending_soon,Publishing,Young Adult,"White Plains, NY",New York,White Plains,North America,usd,Richard Daub & Emerson Daub,0,2,1,0,0,0.5,0,10000,usd,30,0,1641,1,0,0,0,0
Unsung hero! BOLT and NUT pin!,,https://www.kickstarter.com/projects/1004328718/unsung-hero-bolt-and-nut-pin?ref=ending_soon,Art,Digital Art,"Hong Kong, Hong Kong",Hong Kong,Hong Kong,Asia,hkd,SIN182,14,127,1,0,0,0.5,0,385.91,hkd,31,0,158,0,0,4,0,0
This Land is Our Land,,https://www.kickstarter.com/projects/1005089432/this-land-is-our-land?ref=ending_soon,Film & Video,Documentary,"Cleveland, OH",Ohio,Cleveland,North America,usd,Jon Guggenheim,0,2,1,1,0,0.5,702,3500,usd,21.62832176,0,897,1,0,0,0,1
Gellie's Treats and Eats,,https://www.kickstarter.com/projects/1005885740/gellies-treats-and-eats?ref=ending_soon,Food,Food,"Eastpointe, MI",Michigan,Eastpointe,North America,usd,Gellie Rembert,0,2,1,0,0,0.5,4981,10000,usd,59.95833333,0,197,1,0,0,0,0
The Paddle Ontario Project,,https://www.kickstarter.com/projects/1006482380/the-paddle-ontario-project?ref=ending_soon,Art,Art,"Ottawa, Canada",Canada,Ottawa,North America,cad,Clayton,1,2,1,1,0,0.5,270,2253.3,cad,12.55994213,0,305,1,0,0,0,1
Benny Hill Campaign,,https://www.kickstarter.com/projects/1007040297/benny-hill-campaign?ref=ending_soon,Art,Sculpture,"Southampton, UK",United Kingdom,Southampton,Europe,gbp,Garry Bushell,0,2,1,0,0,0.5,5000,81289,gbp,30,0,289,0,0,0,0,0
Antilibraries: Codex Libri,,https://www.kickstarter.com/projects/1007090035/antilibraries-codex-libri?ref=ending_soon,Publishing,Zines,"Brooklyn, NY",New York,Brooklyn,North America,usd,Brendan Schlagel,122,2,1,1,0,0.5,274,250,usd,7,0,1328,1,0,10,0,1
The Adventures of Joey & Friends | Animated Series,,https://www.kickstarter.com/projects/1007706754/diabetic-joe-childrens-book-series?ref=ending_soon,Publishing,Children's Books,"Wayne, NJ",New Jersey,Wayne,North America,usd,Joel Amill,0,2,1,0,0,0.5,4353,25000,usd,59.95833333,0,938,1,0,5,0,0
F&R: Sustainable and Ethical Clothing,,https://www.kickstarter.com/projects/1008540357/fandr-sustainable-and-ethical-clothing?ref=ending_soon,Fashion,Learn more about accountability.,"Mexico City, Mexico",Mexico,Mexico City,North America,mxd,Federico Rojas,0,2,1,0,0,0.5,0,26902,mxd,59.95833333,0,296,1,0,0,0,0
Mythic: Ennam & Saduri for Savage Worlds,,https://www.kickstarter.com/projects/1008812345/mythic-ennam-and-saduri-for-savage-worlds-0?ref=ending_soon,Games,Tabletop Games,"Cambridge, Canada",Canada,Cambridge,North America,cad,Chimera Press,1,67,2,0,0,0,82,2403.52,cad,30,0,615,0,0,2,0,0
The Mysterious Murder of Angston Levi III,,https://www.kickstarter.com/projects/1010462768/the-mysterious-murder-of-angston-levi-iii?ref=ending_soon,Theater,Musical,"Elmira, NY",New York,Elmira,North America,usd,Jeffrey Mathews,1,2,2,2,0,1,681,2000,usd,30.49515046,0,229,0,0,0,0,1
12 Piece Passover Afikoman Puzzle,,https://www.kickstarter.com/projects/1010893457/12-piece-passover-afikoman-puzzle?ref=ending_soon,Games,Puzzles,"Millburn, NJ",New Jersey,Millburn,North America,usd,Boaz Kimelman,0,2,1,0,0,0.5,456,500,usd,31.12821759,0,211,0,0,4,0,0
DeadIndustryRadio.com,,https://www.kickstarter.com/projects/1011429957/deadindustryradiocom?ref=ending_soon,Music,Music,"Toronto, Canada",Canada,Toronto,North America,cad,Dave Thomson,0,2,1,0,0,0.5,0,7511,cad,30,0,422,0,0,0,0,0
Pure Expression Insult Soaps,,https://www.kickstarter.com/projects/1011600882/pure-expression-insult-soaps?ref=ending_soon,Crafts,Crafts,"Vancouver, Canada",Canada,Vancouver,North America,cad,Pure Expressions Soap,0,2,1,0,0,0.5,933,10139.85,cad,30,0,152,1,0,7,0,0
Aqualogue: Aquaponics Education + Research in Chicago,,https://www.kickstarter.com/projects/1014894732/aqualogue?ref=ending_soon,Food,Spaces,"Chicago, IL",Illinois,Chicago,North America,usd,Aqualogue,0,2,1,1,0,0.5,0,20000,usd,30,0,1023,1,0,10,0,1
Natural handmade products for the personal care,,https://www.kickstarter.com/projects/1015538166/natural-handmade-products-for-the-personal-care?ref=ending_soon,Fashion,Fashion,"Bologna, Italy",Italy,Bologna,Europe,eur,Jessica Vignoli,0,2,1,0,0,0.5,577,2122.44,eur,44.95833333,0,115,0,0,0,0,0
The Adventures of Webzy,,https://www.kickstarter.com/projects/1016208644/the-adventures-of-webzy?ref=ending_soon,Publishing,Children's Books,"Atlanta, GA",Georgia,Atlanta,Europe,usd,Gina Surgeon,0,67,2,0,0,0,0,1150,usd,14.1368287,0,251,0,0,0,0,0
La P’ÛÎ_cima animaci’ÛÎ_n stop-motion,,https://www.kickstarter.com/projects/101715754/la-pocima?ref=ending_soon,Film & Video,Animation,"Mexico, Mexico",Mexico,Mexico,North America,mxd,Gabriela Mart’ÛÎ_nez Garza,0,2,1,1,0,0.5,751,3497.26,mxd,29.95833333,1,2116,0,1,32,0,1
"Water Filter for Two, Three, or Five Gallon Bottles",,https://www.kickstarter.com/projects/1017615631/water-filter-for-two-three-or-five-gallon-bottles?ref=ending_soon,Design,Product Design,"Phoenix, AZ",Arizona,Phoenix,North America,usd,The Blue Bottle Filter Team,0,2,1,0,0,0.5,0,10000,usd,30,0,727,0,0,7,0,0
ALASKA SHARKS - Fund Critical Conservation and Advocacy (Canceled),,https://www.kickstarter.com/projects/1017791154/alaska-sharks-fund-critical-conservation-and-advoc?ref=ending_soon,Film & Video,Documentary,"Tatitlek, AK",Alaska,Tatitlek,North America,usd,Boone Hodgin,0,67,1,0,0,0.5,945,80000,usd,30,0,2580,1,0,47,0,0
Mentor Link Connection,,https://www.kickstarter.com/projects/1018134888/mentor-link-connection?ref=ending_soon,Technology,Apps,"Clermont, FL",Florida,Clermont,North America,usd,Brittany Lapicki,0,2,1,0,0,0.5,593,5000,usd,30,0,297,0,0,0,0,0
CCTVYLLE - Everything is under control - Comic issue 02,,https://www.kickstarter.com/projects/1018442294/cctvylle-everything-is-under-control-comic-issue-0?ref=ending_soon,Comics,Comic Books,"London, UK",United Kingdom,London,Europe,gbp,Gianluca Bonomo,3,2,1,1,0,0.5,1351,2276.09,gbp,33.95833333,0,2047,1,0,105,0,1
"Pilot ""Who is Martin""",,https://www.kickstarter.com/projects/1019364348/pilot-who-is-martin?ref=ending_soon,Film & Video,Comedy,"Studio City, Los Angeles, CA",California,Los Angeles,North America,usd,Aurelien Viricel,0,2,1,0,0,0.5,789,10000,usd,30,0,1253,1,6,13,0,0
Boats N Bikes - 13 part TV series,,https://www.kickstarter.com/projects/102022033/boats-n-bikes-13-part-tv-series?ref=ending_soon,Film & Video,Film & Video,"Manchester, UK",United Kingdom,Manchester,Europe,gbp,Sebastian Lyte,0,2,1,0,0,0.5,0,62530,gbp,33.82546296,0,401,1,0,0,0,0
Madhu & Alex - The S’ÜÎÅmi Brothers,,https://www.kickstarter.com/projects/1021096490/madhu-and-alex-the-sami-brothers?ref=ending_soon,Music,World Music,"Berkeley, CA",California,Berkeley,North America,usd,S’ÜÎÅmi Brothers,0,2,1,1,0,0.5,0,7777,usd,58.6228588,0,111,1,0,0,0,1
#IamTALIBE,,https://www.kickstarter.com/projects/1021700967/iamtalibe?ref=ending_soon,Photography,People,"Dakar, Senegal",Senegal,Dakar,Africa,eur,Yannis Diouf,0,2,1,0,0,0.5,0,10612.2,eur,29.95833333,0,344,0,0,6,0,0
"""Where I Stand""",,https://www.kickstarter.com/projects/102192629/where-i-stand?ref=ending_soon,Music,Country & Folk,"St. Jo, TX",Texas,St. Jo,North America,usd,Larry Borden,0,2,1,0,0,0.5,372,12000,usd,29.95833333,0,512,1,0,7,0,0
Shea Butter Souffle (Whipped Shea Butter),,https://www.kickstarter.com/projects/1022047334/shea-butter-souffle-whipped-shea-butter?ref=ending_soon,Crafts,Crafts,"Tallahassee, FL",Florida,Tallahassee,North America,usd,Kaitlyn Jones,0,2,1,0,0,0.5,0,1000,usd,26.66614583,0,132,1,0,0,0,0
The Education Bubble Visualized,,https://www.kickstarter.com/projects/1023300779/the-education-bubble-visualized?ref=ending_soon,Film & Video,Film & Video,"London, UK",United Kingdom,London,Europe,gbp,Aftab Singh,0,2,1,0,0,0.5,0,15007.2,gbp,29.95833333,0,547,1,0,0,0,0
Indoor playground for children in Mexico,,https://www.kickstarter.com/projects/1024306320/play-center-for-mexican-children?ref=ending_soon,Games,Games,"Mexico, Mexico",Mexico,Mexico,North America,eur,Katt & Mich,0,2,1,0,0,0.5,0,15918.3,eur,33.95833333,0,178,0,0,0,0,0
Ninja Bounce (kids entertainment center),,https://www.kickstarter.com/projects/1024575517/ninja-bounce-kids-entertainment-center?ref=ending_soon,Games,Live Games,"Palm Harbor, FL",Florida,Palm Harbor,North America,usd,Jimmy Kopteros,0,2,1,0,0,0.5,1061,30000,usd,30,0,305,0,0,0,0,0
Maya Chieftain: A Native American Themed Strategy Game (Canceled),,https://www.kickstarter.com/projects/1024870559/maya-chieftain-a-native-american-themed-strategy-g?ref=ending_soon,Games,Video Games,"Gothenburg, Sweden",Sweden,Gothenburg,Europe,sek,Dan Pettersson,0,2,1,0,0,0.5,214,6637.44,sek,59.49993056,0,310,1,0,0,0,0
Tsuki Kami,,https://www.kickstarter.com/projects/102519863/tsuki-kami?ref=ending_soon,Games,Video Games,"Madrid, Spain",Spain,Madrid,Europe,eur,Dalas Games,0,99,1,0,0,0.5,0,2122.44,eur,30,0,281,1,1,4,0,0
"Natural Mosquito Repellent Soaps, Lotions and So Much More",,https://www.kickstarter.com/projects/1025575468/natural-mosquito-repellent-soaps-lotions-and-so-mu?ref=ending_soon,Crafts,Crafts,"Brackney, PA",Pennsylvania,Brackney,North America,usd,Tracee,0,2,1,0,0,0.5,52,5000,usd,30,0,807,0,0,4,0,0
May(be) - immersive reality play,,https://www.kickstarter.com/projects/1026209257/maybe-immersive-reality-play?ref=ending_soon,Theater,Immersive,"The Hague, Netherlands",Netherlands,The Hague,Europe,eur,7MRP,0,2,1,1,0,0.5,708,318.37,eur,20.95833333,1,493,1,2,0,0,1
The Cam Tourist Cuba - Interactive photo travel ebook & book,,https://www.kickstarter.com/projects/10262539/the-cam-tourist-cuba-an-inspiring-photo-travel-boo?ref=ending_soon,Photography,Photobooks,"Weimar, Germany",Germany,Weimar,Europe,eur,vonSchwarz,5,2,1,0,0,0.5,0,1538.77,eur,29.95833333,0,712,1,0,12,0,0
"Rough Cut Cartel Gems, Jewelry and ""Dog-stones""",,https://www.kickstarter.com/projects/1026257244/rough-cut-cartel-gems-jewelry-and-dog-stones?ref=ending_soon,Art,Mixed Media,"Sacramento, CA",California,Sacramento,North America,usd,Thomas Roche,0,67,1,0,0,0.5,253,5000,usd,29.95833333,0,393,1,0,0,0,0
New Tech Company Starting Facebook Page Business,,https://www.kickstarter.com/projects/102635724/new-tech-company-starting-facebook-page-business?ref=ending_soon,Technology,Web,"Redding, CA",California,Redding,North America,usd,Mark Watson Jr.,0,2,1,0,0,0.5,586,5000,usd,29.95833333,0,160,0,0,0,0,0
The Desert of When - Noonday Crawlers Studio Release,,https://www.kickstarter.com/projects/102653228/the-desert-of-when-noonday-crawlers-studio-release?ref=ending_soon,Music,Rock,"Portland, ME",Maine,Portland,North America,usd,Jeff Grinner,4,2,1,1,0,0.5,0,2300,usd,40,0,219,1,0,0,0,1
Simple home automation system,,https://www.kickstarter.com/projects/1026781298/simple-home-automation-system?ref=ending_soon,Technology,Gadgets,"Gradara, Italy",Italy,Gradara,Europe,eur,Angelo Facondini,0,2,1,0,0,0.5,859,84897.6,eur,39.95833333,0,128,0,0,0,1,0
Rhythamatrix Blends: Modern Indigenous Healings Part 2,,https://www.kickstarter.com/projects/1026956311/rhythamatrix-blends-modern-indigenous-healings-par?ref=ending_soon,Music,Jazz,"Durham, NC",North Carolina,Durham,North America,usd,ken moshesh,0,99,3,1,0,0.5,311,250,usd,7,0,301,1,1,0,0,0
It's on us: The Stories of Public School Librarians,,https://www.kickstarter.com/projects/1027437456/its-on-us-the-stories-of-public-school-librarians?ref=ending_soon,Film & Video,Documentary,"Providence, RI",Rhode Island,Providence,North America,usd,SLRI Productions,0,2,1,1,0,0.5,0,8000,usd,44.95833333,0,721,0,2,0,0,1
Color by Amanda Norman,,https://www.kickstarter.com/projects/1027808330/color-by-amanda-norman?ref=ending_soon,Publishing,Children's Books,"Nashville, TN",Tennessee,Nashville,North America,usd,Amanda Norman McGuire,1,2,1,1,0,0.5,0,10000,usd,30,0,531,1,0,0,0,1
The Glass Die,,https://www.kickstarter.com/projects/1028465273/the-glass-die?ref=ending_soon,Games,Tabletop Games,"Reno, NV",Nevada,Reno,North America,usd,The Glass Die,109,207,1,1,0,0.5,354,2000,usd,23.42081019,0,570,0,0,18,0,1
"Naken, S’ÛÎÇrbar & Skitsur",,https://www.kickstarter.com/projects/1029235966/naken-sarbar-and-skitsur?ref=ending_soon,Film & Video,Drama,"’Û_—_kersberga, Sweden",Sweden,’Û_—_kersberga,Europe,sek,Magnus G Bergstr’ÛÎ_m,5,2,3,3,0,1,966,553.12,sek,30,0,573,1,0,0,0,1
PI-FF-SPACE Clothing est. 2016,,https://www.kickstarter.com/projects/1030517735/piffspace-clothing-est-2016?ref=ending_soon,Fashion,Apparel,"Hanover, Germany",Germany,Hanover,Europe,eur,Martin Espig,0,99,1,0,0,0.5,19,6897.93,eur,59.95833333,0,536,1,1,8,0,0
"Nowhere, Michigan - In Post Production Now!",,https://www.kickstarter.com/projects/1032066976/nowhere-michigan-in-post-production-now?ref=ending_soon,Film & Video,Thrillers,"New York, NY",New York,New York,North America,usd,Robert Vornkahl and Tequan Richmond,0,2,1,1,0,0.5,0,20000,usd,30,2,501,0,1,10,0,1
Sound Street Radio supporting new DJ's Music & Entertainment,,https://www.kickstarter.com/projects/1032500201/sound-street-radio-supporting-new-djs-music-and-en?ref=ending_soon,Publishing,Radio & Podcasts,"London, UK",United Kingdom,London,Europe,gbp,Stephen Benham,0,2,1,0,0,0.5,378,10004.8,gbp,28,0,654,1,0,0,0,0
Byoba: Bottled Boba Tea on the go!,,https://www.kickstarter.com/projects/1032731311/byoba-bottled-boba-tea-on-the-go?ref=ending_soon,Food,Drinks,"Durham, NC",North Carolina,Durham,North America,usd,BYOBA,0,2,1,0,0,0.5,0,15000,usd,30,0,365,1,0,0,0,0
The Post Silver Exhibition,,https://www.kickstarter.com/projects/1035737379/the-post-silver-exhibition?ref=ending_soon,Photography,Photography,"London, UK",United Kingdom,London,Europe,gbp,The Post Silver,0,2,1,1,0,0.5,0,1500.72,gbp,30,1,459,0,0,30,0,1
Jumping Out Book,,https://www.kickstarter.com/projects/1036066438/jumping-out-book?ref=ending_soon,Publishing,Fiction,"West Sacramento, CA",California,West Sacramento,North America,usd,Travis Hunter,0,2,1,0,0,0.5,373,5000,usd,59.95833333,0,310,0,0,0,0,0
"Raw, Meaty, with a Dollop of Cream",,https://www.kickstarter.com/projects/1036296655/raw-meaty-with-a-dollop-of-cream?ref=ending_soon,Film & Video,Shorts,"Melbourne, AU",Australia,Melbourne,Oceania,aud,Anna Charalambous,0,2,1,1,0,0.5,0,757.5,aud,31.51783565,0,495,0,0,0,0,1
D2K Plus - Affordable DLP 3D Printer,,https://www.kickstarter.com/projects/1037397144/d2k-plus-affordable-dlp-3d-printer?ref=ending_soon,Technology,3D Printing,"Hong Kong, Hong Kong",Hong Kong,Hong Kong,Asia,hkd,SH IP,4,159,2,2,0,1,0,9004.66,hkd,18,0,1118,1,0,19,0,1
Tiny MS5837-30BA Pressure Sensor - I’äÎ_C Arduino Compatible,,https://www.kickstarter.com/projects/1037551496/tiny-ms5837-30ba-pressure-sensor-i2c-arduino-compa?ref=ending_soon,Technology,DIY Electronics,"Lyon, France",France,Lyon,Europe,eur,Corentin Altepe,0,2,1,0,0,0.5,0,2918.36,eur,45,0,821,0,0,9,0,0
Relaxation One - The Ultimate Relaxation App,,https://www.kickstarter.com/projects/1037562977/elemental-relaxation-app?ref=ending_soon,Technology,Apps,"Calgary, Canada",Canada,Calgary,North America,cad,Marcus Dupuis,0,2,1,0,0,0.5,0,15022,cad,30.24854167,0,303,1,0,0,0,0
Foodclicker app,,https://www.kickstarter.com/projects/1037711517/foodclicker-app?ref=ending_soon,Photography,People,"Maastricht, Netherlands",Netherlands,Maastricht,Europe,eur,Ralf Poeth,0,2,1,0,0,0.5,592,2653.05,eur,29.95833333,0,314,0,0,0,0,0
Parables: The Debut Album,,https://www.kickstarter.com/projects/1037774135/parables-the-debut-album?ref=ending_soon,Music,Music,"London, UK",United Kingdom,London,Europe,gbp,Dinachi,0,2,1,1,0,0.5,0,6253,gbp,29.95833333,0,526,1,2,0,0,1
ARCHIVE T-shirt - Elevate your Everyday Basics,,https://www.kickstarter.com/projects/1037861155/the-egyptian-cotton-t-shirt-made-in-egypt-by-archi?ref=ending_soon,Design,Product Design,"Singapore, Singapore",Singapore,Singapore,Asia,sd,ARCHIVE,0,145,1,0,0,0.5,0,5720.42,sd,41.95833333,0,1239,1,0,29,0,0
MOKURU: The Amazing Desk Toy That You Can Take Anywhere!,,https://www.kickstarter.com/projects/1038095377/mokuru-the-amazing-desk-toy-that-you-can-take-anyw?ref=ending_soon,Design,Product Design,"Tokyo, Japan",Japan,Tokyo,Asia,cad,MOKURU,0,36,1,1,0,0.5,0,7511,cad,44.95833333,0,910,1,1,58,0,1
"Music Makers, World Shakers!",,https://www.kickstarter.com/projects/1038625714/music-makers-world-shakers?ref=ending_soon,Music,Music,"Columbus, OH",Ohio,Columbus,North America,usd,Jewel Mitchell,0,67,2,0,0,0,0,4400,usd,7,0,739,1,0,0,0,0
The Norman Jackson Band New CD,,https://www.kickstarter.com/projects/1038653888/the-norman-jackson-band-new-cd?ref=ending_soon,Music,Blues,"Springfield, MO",Missouri,Springfield,North America,usd,The Norman Jackson Band,0,2,1,0,0,0.5,4775,2000,usd,29.95833333,0,216,1,0,0,0,0
CAVEN apparel,,https://www.kickstarter.com/projects/103903319/caven-apparel?ref=ending_soon,Fashion,Apparel,"Birmingham, UK",United Kingdom,Birmingham,Europe,gbp,Chloe Caven,0,2,1,0,0,0.5,1432,2501.2,gbp,29.95833333,0,303,0,0,4,0,0
Survival Guide For The Stay At Home Dad,,https://www.kickstarter.com/projects/1039538963/survival-guide-for-the-stay-at-home-dad?ref=ending_soon,Publishing,Nonfiction,"Queen Creek, AZ",Arizona,Queen Creek,North America,usd,Kalilimoku hunt,1,67,2,0,0,0,585,5000,usd,30,0,194,1,0,2,0,0
AfroDistrict Radio Talk Show,,https://www.kickstarter.com/projects/1040258281/afrodistrict-radio-talk-show?ref=ending_soon,Journalism,Audio,"Silver Spring, MD",Maryland,Silver Spring,North America,usd,Julius Gotez,4,2,1,0,0,0.5,0,18500,usd,40.95833333,0,442,0,0,2,0,0
Lit Literature: The Phenomenal Creation of Stories,,https://www.kickstarter.com/projects/1040463564/lit-literature-the-phenomenal-creation-of-stories?ref=ending_soon,Publishing,Fiction,"Kenosha, WI",Wisconsin,Kenosha,North America,usd,Michael Salinas,0,2,1,0,0,0.5,261,2500,usd,30,0,272,0,0,0,0,0
"Clickio: We make it, you build it",,https://www.kickstarter.com/projects/104095/clickio-we-make-it-you-build-it?ref=ending_soon,Fashion,Accessories,"Santa Maria, CA",California,Santa Maria,North America,usd,Justin Fraser,16,74,2,2,0,1,0,2000,usd,29.95833333,0,509,1,0,11,0,1
What's So Funny?,,https://www.kickstarter.com/projects/1044300810/whats-so-funny?ref=ending_soon,Film & Video,Comedy,"Chicago, IL",Illinois,Chicago,North America,usd,Torie & Ben,2,2,1,1,0,0.5,1051,7500,usd,30,0,986,0,5,3,0,1
Jeneus Clothing #NoRm4IdleThts!,,https://www.kickstarter.com/projects/1044306101/jeneus-clothing-norm4idlethts?ref=ending_soon,Fashion,Apparel,"Port Orange, FL",Florida,Port Orange,North America,usd,Jeneus Clothing,0,2,1,0,0,0.5,1576,10000,usd,30,0,294,0,0,13,0,0
ELQANO - Where Knowledge Finds People,,https://www.kickstarter.com/projects/1044308519/elqano-where-knowledge-finds-people?ref=ending_soon,Technology,Software,"Geneva, Switzerland",Switzerland,Geneva,Europe,chf,Yann Iker Echeverria,0,2,1,0,0,0.5,0,9940.36,chf,30,0,502,1,0,2,0,0
Human trafficking awareness film,,https://www.kickstarter.com/projects/1046024207/human-trafficking-awareness-film?ref=ending_soon,Film & Video,Film & Video,"Greenville, SC",South Carolina,Greenville,North America,usd,Daljit Kalsi Jr,0,2,1,1,0,0.5,0,4500,usd,30,0,574,1,0,0,0,1
Directorio de Negocios en Linea NavegApp,,https://www.kickstarter.com/projects/1046047428/directorio-de-negocios-en-linea-navegapp?ref=ending_soon,Technology,Apps,"Guadalajara, Mexico",Mexico,Guadalajara,North America,mxd,Roberto,0,2,1,0,0,0.5,463,538.04,mxd,29.95833333,0,54,1,0,8,0,0
Insecticide Extermination - Reimagining Classic SHMUP Action,,https://www.kickstarter.com/projects/1046908503/insecticide-extermination-reimagining-classic-shmu?ref=ending_soon,Games,Games,"Oklahoma City, OK",Oklahoma,Oklahoma City,North America,usd,Kalvin Goodlow,7,2,1,0,0,0.5,76,45000,usd,44.95833333,0,890,1,0,12,0,0
Bringing More Soul to The City!,,https://www.kickstarter.com/projects/1047311057/bringing-more-soul-to-the-city?ref=ending_soon,Food,Restaurants,"Benton Harbor, MI",Michigan,Benton Harbor,North America,usd,Kanisha,1,2,1,0,0,0.5,0,15000,usd,30,0,209,0,0,0,0,0
