"","x"
"1","A collection of literature and art that shatters boundaries and challenges conventions. Our mission? To #PublishWeird."
"2","The first documentary chronicling the history of Canadian graphic design and how it shaped a nation and its people."
"3","HyperKid & friends must stop Alien-Bot, who wants to make his home planet great again by destroying the rest of the universe. YA book."
"4","Our public lands are at risk . This story will be told using Utah's Grand Staircase-Escalante National Monument as an example."
"5","We make your life sweeter with our customized treats. We make all types of treats for all occasions and we need a commercial location"
"6","A curated collection from your potential library dozens of incredible books you may not have heard of but definitely should know about!"
"7","Go on an adventure with Diabetic Joey, Healthy Bob and Skinny Julie as they face issues in school and stick together to overcome them."
"8","The Mysterious Murder of Angston Levi III is an original musical by Jordan Louis Fischer and Jeffrey Mathews"
"9","New 12 Piece Passover Afikoman Puzzle -- not just a puzzle, a new way to hide the Afikoman and enjoy a fun, shared Afikoman experience!"
"10","Educating communities on their food systems through art, lectures, classes, and hands-on fun in our aquaponics learning center."
"11","7-year-old Ayanna created a 9 book series Webzy to help kids get through hard times. Help her fulfill her dream to be an author."
"12","We are trying to take as much plastic out of the clean water solution as possible. Goal is reusable, recyclable, or biodegradable!"
"13","Fund our conservation effort to save Salmon Sharks from extinction and educate the public on protecting this vital species."
"14","Mentor Link Connection is an informational platform providing the tools needed for student-athletes to succeed ""Well Beyond The Game!"""
"15","We are making the Pilot of the show ""Who is Martin?"" so we can pass it along to the powers that be and get this project funded!"
"16","Madhu & Alex are returning to the studio to record their second album... continuing the flow of good music medicine!"
"17","A collection of country originals that I can't wait to share."
"18","Making homemade whipped shea butter which contains Coconut Oil,Extra Virgin Olive Oil and Grapeseed Oil."
"19","Ninja Bounce is a kids party/play center. Watch a ninja cut your child's Birthday cake with a Samurai sword. Blow up obstacles galore!"
"20","Natural DEET FREE Mosquito Repellent Soaps, Lotions and Many More Skin Care Products Designed For Active Outdoor Enthusiasts."
"21","Rough Cut Cartel is stage one of a greater goal (see bio) which will be used to reimburse startup and material costs via handmade art."
"22","We are a new tech company that started in a small town. We provide jobs for students and people who need a fighting chance."
"23","We are looking to release an original rock album in the tradition of all great rock albums. It tells a story from beginning to end."
"24","Rhythamatrix Blends Part 2 will be a continuation of Part 1 where other musicians will collaborate with the Rhythamatrix part 1 themes."
"25","Personal stories of public school librarians and how they are innovating, everyday, evolving their roles."
"26","A beautiful and refreshing children's book about color. Created and illustrated by award-winning artist Amanda Norman."
"27","Reno Nevada's first board game parlour. Serving beer, wine, coffee, and tea with an expansive board game library in a beautiful space."
"28","An independent thriller, set in Michigan's frozen Upper Peninsula, starring Tequan Richmond, Jenna Boyd and Christina Scherer."
"29","We are putting delicious Boba tea in a bottle so you can enjoy it on the go!"
"30","This book is about a person who had an average life but decided to join a gang. When things went south he left but the gang did not."
"31","Music is the soundtrack of life! We have crafted an engaging young music-makers' course and need keyboards for classroom instruction."
"32","The band's new CD is close to completion, but we need your help! 12 tracks of new original music guaranteed to ""Get Your Happy On""!"
"33","I have created the ultimate survival guide for stay at home parents. Its a book for dads approved by moms."
"34","AfroDistrict is a talk show that gives voice to Africans, their culture, current economic and political issues."
"35","I'm an unheard voice in the writing community that tells incredible stories. I want to publish my stories so everybody can read them :)"
"36","The first student made modular wearable! Click in gender, emoji or animal attachments into the Acceptor to make your very own Clickio."
"37","Sketch Comedy web series based in Chicago."
"38","Jeneus is the essence of intellectual fashion capturing your attention with vibrant colors intricate detail and hidden knowledge"
"39","A brutal, unflinching look into the world of human trafficking told through one young victim's eyes conveyed through a short film."
"40","Insecticide: Extermination is a brand new shoot em up game with a classic retro arcade gameplay style!"
"41","Everyone needs a good home cooked meal that can clear their minds of their hectic days and sooth their souls for a small price."
"42","A completely universal magnetic car mount for iPhone and Android phones! Designed to keep you hands free and line of vision clear."
"43","Revolutionary nutrition-planning software for eating disorders"
"44","We created Bombtistic bath bombs in order to help people relax after a long day of work or school, while benefiting the body."
"45","In this simple, yet important, Kickstarter, I will try to settle the age old question... Which is better: waffles or pancakes?"
"46","THE FIRST EVER ALL IN ONE PHONE GADGET."
"47","MMO Fantasy Sandbox, based in a post-apocalyptic world. Destroyed by science, thousands of years later, leaving fate to magic."
"48","Black Bird Custom parts - a molded plastic rims with a holder for LEGO Technic Axle with individual hand painting and rubber tyres."
"49","Time to get in the studio! This is a full length album of 8-10 songs, 4 of which are originals & can only be heard live at this time!"
"50","Get your tickets to the ball! The Art of HEART is a book of visual development for HEART: A Trans Femme Space Opera Extravaganza"
