campaignTitle,description,url,mainCategory,category,location,countryState,city,continent,valuta,creator,backed,comments,created,numSuccessfulCampaigns,numLiveCampaigns,pastSuccessRate,facebookFriends,goal,currency,campaignDuration,numCollaborators,totWordCount,mainVideo,numAdditionalVideos,numImages,viewGallery,success
F(r)iction #7 - A Fine Art & Literature Collection,A collection of literature and art that shatters boundaries and challenges conventions. Our mission? To #PublishWeird.,https://www.kickstarter.com/projects/1002171905/friction-7-a-fine-art-and-literature-collection?ref=ending_soon,Publishing,Fiction,"Denver, CO",Colorado,Denver,North America,usd,Tethered by Letters,8,18,4,4,0,1,461,3000,usd,30,0,1371,1,0,12,0,1
Design Canada,The first documentary chronicling the history of Canadian graphic design and how it shaped a nation and its people.,https://www.kickstarter.com/projects/1002969621/design-canada?ref=ending_soon,Design,Graphic Design,"Vancouver, Canada",Canada,Vancouver,North America,usd,Jessica Edwards,28,74,2,2,0,1,0,80000,usd,30,0,1040,1,0,34,0,1
New HyperKid Book - The Cyborg at the End of the Universe,"HyperKid & friends must stop Alien-Bot, who wants to make his home planet great again by destroying the rest of the universe. YA book.",https://www.kickstarter.com/projects/1003458897/new-hyperkid-book-the-cyborg-at-the-end-of-the-uni?ref=ending_soon,Publishing,Young Adult,"White Plains, NY",New York,White Plains,North America,usd,Richard Daub & Emerson Daub,0,2,1,0,0,0.5,0,10000,usd,30,0,1641,1,0,0,0,0
This Land is Our Land,Our public lands are at risk . This story will be told using Utah's Grand Staircase-Escalante National Monument as an example.,https://www.kickstarter.com/projects/1005089432/this-land-is-our-land?ref=ending_soon,Film & Video,Documentary,"Cleveland, OH",Ohio,Cleveland,North America,usd,Jon Guggenheim,0,2,1,1,0,0.5,702,3500,usd,22,0,897,1,0,0,0,1
Gellie's Treats and Eats,We make your life sweeter with our customized treats. We make all types of treats for all occasions and we need a commercial location,https://www.kickstarter.com/projects/1005885740/gellies-treats-and-eats?ref=ending_soon,Food,Food,"Eastpointe, MI",Michigan,Eastpointe,North America,usd,Gellie Rembert,0,2,1,0,0,0.5,4981,10000,usd,60,0,197,1,0,0,0,0
Antilibraries: Codex Libri,A curated collection from your potential library dozens of incredible books you may not have heard of but definitely should know about!,https://www.kickstarter.com/projects/1007090035/antilibraries-codex-libri?ref=ending_soon,Publishing,Zines,"Brooklyn, NY",New York,Brooklyn,North America,usd,Brendan Schlagel,122,2,1,1,0,0.5,274,250,usd,7,0,1328,1,0,10,0,1
The Adventures of Joey & Friends | Animated Series,"Go on an adventure with Diabetic Joey, Healthy Bob and Skinny Julie as they face issues in school and stick together to overcome them.",https://www.kickstarter.com/projects/1007706754/diabetic-joe-childrens-book-series?ref=ending_soon,Publishing,Children's Books,"Wayne, NJ",New Jersey,Wayne,North America,usd,Joel Amill,0,2,1,0,0,0.5,4353,25000,usd,60,0,938,1,0,5,0,0
The Mysterious Murder of Angston Levi III,The Mysterious Murder of Angston Levi III is an original musical by Jordan Louis Fischer and Jeffrey Mathews,https://www.kickstarter.com/projects/1010462768/the-mysterious-murder-of-angston-levi-iii?ref=ending_soon,Theater,Musical,"Elmira, NY",New York,Elmira,North America,usd,Jeffrey Mathews,1,2,2,2,0,1,681,2000,usd,30,0,229,0,0,0,0,1
12 Piece Passover Afikoman Puzzle,"New 12 Piece Passover Afikoman Puzzle -- not just a puzzle, a new way to hide the Afikoman and enjoy a fun, shared Afikoman experience!",https://www.kickstarter.com/projects/1010893457/12-piece-passover-afikoman-puzzle?ref=ending_soon,Games,Puzzles,"Millburn, NJ",New Jersey,Millburn,North America,usd,Boaz Kimelman,0,2,1,0,0,0.5,456,500,usd,31,0,211,0,0,4,0,0
Aqualogue: Aquaponics Education + Research in Chicago,"Educating communities on their food systems through art, lectures, classes, and hands-on fun in our aquaponics learning center.",https://www.kickstarter.com/projects/1014894732/aqualogue?ref=ending_soon,Food,Spaces,"Chicago, IL",Illinois,Chicago,North America,usd,Aqualogue,0,2,1,1,0,0.5,0,20000,usd,30,0,1023,1,0,10,0,1
The Adventures of Webzy,7-year-old Ayanna created a 9 book series Webzy to help kids get through hard times. Help her fulfill her dream to be an author.,https://www.kickstarter.com/projects/1016208644/the-adventures-of-webzy?ref=ending_soon,Publishing,Children's Books,"Atlanta, GA",Georgia,Atlanta,Europe,usd,Gina Surgeon,0,67,2,0,0,0,0,1150,usd,14,0,251,0,0,0,0,0
"Water Filter for Two, Three, or Five Gallon Bottles","We are trying to take as much plastic out of the clean water solution as possible. Goal is reusable, recyclable, or biodegradable!",https://www.kickstarter.com/projects/1017615631/water-filter-for-two-three-or-five-gallon-bottles?ref=ending_soon,Design,Product Design,"Phoenix, AZ",Arizona,Phoenix,North America,usd,The Blue Bottle Filter Team,0,2,1,0,0,0.5,0,10000,usd,30,0,727,0,0,7,0,0
ALASKA SHARKS - Fund Critical Conservation and Advocacy,Fund our conservation effort to save Salmon Sharks from extinction and educate the public on protecting this vital species.,https://www.kickstarter.com/projects/1017791154/alaska-sharks-fund-critical-conservation-and-advoc?ref=ending_soon,Film & Video,Documentary,"Tatitlek, AK",Alaska,Tatitlek,North America,usd,Boone Hodgin,0,67,1,0,0,0.5,945,80000,usd,30,0,2580,1,0,47,0,0
Mentor Link Connection,"Mentor Link Connection is an informational platform providing the tools needed for student-athletes to succeed ""Well Beyond The Game!""",https://www.kickstarter.com/projects/1018134888/mentor-link-connection?ref=ending_soon,Technology,Apps,"Clermont, FL",Florida,Clermont,North America,usd,Brittany Lapicki,0,2,1,0,0,0.5,593,5000,usd,30,0,297,0,0,0,0,0
"Pilot ""Who is Martin""","We are making the Pilot of the show ""Who is Martin?"" so we can pass it along to the powers that be and get this project funded!",https://www.kickstarter.com/projects/1019364348/pilot-who-is-martin?ref=ending_soon,Film & Video,Comedy,"Studio City, Los Angeles, CA",California,Los Angeles,North America,usd,Aurelien Viricel,0,2,1,0,0,0.5,789,10000,usd,30,0,1253,1,6,13,0,0
Madhu & Alex - The Smi Brothers,Madhu & Alex are returning to the studio to record their second album... continuing the flow of good music medicine!,https://www.kickstarter.com/projects/1021096490/madhu-and-alex-the-sami-brothers?ref=ending_soon,Music,World Music,"Berkeley, CA",California,Berkeley,North America,usd,Smi Brothers,0,2,1,1,0,0.5,0,7777,usd,59,0,111,1,0,0,0,1
"""Where I Stand""",A collection of country originals that I can't wait to share.,https://www.kickstarter.com/projects/102192629/where-i-stand?ref=ending_soon,Music,Country & Folk,"St. Jo, TX",Texas,St. Jo,North America,usd,Larry Borden,0,2,1,0,0,0.5,372,12000,usd,30,0,512,1,0,7,0,0
Shea Butter Souffle (Whipped Shea Butter),"Making homemade whipped shea butter which contains Coconut Oil,Extra Virgin Olive Oil and Grapeseed Oil.",https://www.kickstarter.com/projects/1022047334/shea-butter-souffle-whipped-shea-butter?ref=ending_soon,Crafts,Crafts,"Tallahassee, FL",Florida,Tallahassee,North America,usd,Kaitlyn Jones,0,2,1,0,0,0.5,0,1000,usd,27,0,132,1,0,0,0,0
Ninja Bounce (kids entertainment center),Ninja Bounce is a kids party/play center. Watch a ninja cut your child's Birthday cake with a Samurai sword. Blow up obstacles galore!,https://www.kickstarter.com/projects/1024575517/ninja-bounce-kids-entertainment-center?ref=ending_soon,Games,Live Games,"Palm Harbor, FL",Florida,Palm Harbor,North America,usd,Jimmy Kopteros,0,2,1,0,0,0.5,1061,30000,usd,30,0,305,0,0,0,0,0
"Natural Mosquito Repellent Soaps, Lotions and So Much More","Natural DEET FREE Mosquito Repellent Soaps, Lotions and Many More Skin Care Products Designed For Active Outdoor Enthusiasts.",https://www.kickstarter.com/projects/1025575468/natural-mosquito-repellent-soaps-lotions-and-so-mu?ref=ending_soon,Crafts,Crafts,"Brackney, PA",Pennsylvania,Brackney,North America,usd,Tracee,0,2,1,0,0,0.5,52,5000,usd,30,0,807,0,0,4,0,0
"Rough Cut Cartel Gems, Jewelry and ""Dog-stones""",Rough Cut Cartel is stage one of a greater goal (see bio) which will be used to reimburse startup and material costs via handmade art.,https://www.kickstarter.com/projects/1026257244/rough-cut-cartel-gems-jewelry-and-dog-stones?ref=ending_soon,Art,Mixed Media,"Sacramento, CA",California,Sacramento,North America,usd,Thomas Roche,0,67,1,0,0,0.5,253,5000,usd,30,0,393,1,0,0,0,0
New Tech Company Starting Facebook Page Business,We are a new tech company that started in a small town. We provide jobs for students and people who need a fighting chance.,https://www.kickstarter.com/projects/102635724/new-tech-company-starting-facebook-page-business?ref=ending_soon,Technology,Web,"Redding, CA",California,Redding,North America,usd,Mark Watson Jr.,0,2,1,0,0,0.5,586,5000,usd,30,0,160,0,0,0,0,0
The Desert of When - Noonday Crawlers Studio Release,We are looking to release an original rock album in the tradition of all great rock albums. It tells a story from beginning to end.,https://www.kickstarter.com/projects/102653228/the-desert-of-when-noonday-crawlers-studio-release?ref=ending_soon,Music,Rock,"Portland, ME",Maine,Portland,North America,usd,Jeff Grinner,4,2,1,1,0,0.5,0,2300,usd,40,0,219,1,0,0,0,1
Rhythamatrix Blends: Modern Indigenous Healings Part 2,Rhythamatrix Blends Part 2 will be a continuation of Part 1 where other musicians will collaborate with the Rhythamatrix part 1 themes.,https://www.kickstarter.com/projects/1026956311/rhythamatrix-blends-modern-indigenous-healings-par?ref=ending_soon,Music,Jazz,"Durham, NC",North Carolina,Durham,North America,usd,ken moshesh,0,99,3,1,0,0.5,311,250,usd,7,0,301,1,1,0,0,0
It's on us: The Stories of Public School Librarians,"Personal stories of public school librarians and how they are innovating, everyday, evolving their roles.",https://www.kickstarter.com/projects/1027437456/its-on-us-the-stories-of-public-school-librarians?ref=ending_soon,Film & Video,Documentary,"Providence, RI",Rhode Island,Providence,North America,usd,SLRI Productions,0,2,1,1,0,0.5,0,8000,usd,45,0,721,0,2,0,0,1
Color by Amanda Norman,A beautiful and refreshing children's book about color. Created and illustrated by award-winning artist Amanda Norman.,https://www.kickstarter.com/projects/1027808330/color-by-amanda-norman?ref=ending_soon,Publishing,Children's Books,"Nashville, TN",Tennessee,Nashville,North America,usd,Amanda Norman McGuire,1,2,1,1,0,0.5,0,10000,usd,30,0,531,1,0,0,0,1
The Glass Die,"Reno Nevada's first board game parlour. Serving beer, wine, coffee, and tea with an expansive board game library in a beautiful space.",https://www.kickstarter.com/projects/1028465273/the-glass-die?ref=ending_soon,Games,Tabletop Games,"Reno, NV",Nevada,Reno,North America,usd,The Glass Die,109,207,1,1,0,0.5,354,2000,usd,23,0,570,0,0,18,0,1
"Nowhere, Michigan - In Post Production Now!","An independent thriller, set in Michigan's frozen Upper Peninsula, starring Tequan Richmond, Jenna Boyd and Christina Scherer.",https://www.kickstarter.com/projects/1032066976/nowhere-michigan-in-post-production-now?ref=ending_soon,Film & Video,Thrillers,"New York, NY",New York,New York,North America,usd,Robert Vornkahl and Tequan Richmond,0,2,1,1,0,0.5,0,20000,usd,30,2,501,0,1,10,0,1
Byoba: Bottled Boba Tea on the go!,We are putting delicious Boba tea in a bottle so you can enjoy it on the go!,https://www.kickstarter.com/projects/1032731311/byoba-bottled-boba-tea-on-the-go?ref=ending_soon,Food,Drinks,"Durham, NC",North Carolina,Durham,North America,usd,BYOBA,0,2,1,0,0,0.5,0,15000,usd,30,0,365,1,0,0,0,0
Jumping Out Book,This book is about a person who had an average life but decided to join a gang. When things went south he left but the gang did not.,https://www.kickstarter.com/projects/1036066438/jumping-out-book?ref=ending_soon,Publishing,Fiction,"West Sacramento, CA",California,West Sacramento,North America,usd,Travis Hunter,0,2,1,0,0,0.5,373,5000,usd,60,0,310,0,0,0,0,0
"Music Makers, World Shakers!",Music is the soundtrack of life! We have crafted an engaging young music-makers' course and need keyboards for classroom instruction.,https://www.kickstarter.com/projects/1038625714/music-makers-world-shakers?ref=ending_soon,Music,Music,"Columbus, OH",Ohio,Columbus,North America,usd,Jewel Mitchell,0,67,2,0,0,0,0,4400,usd,7,0,739,1,0,0,0,0
The Norman Jackson Band New CD,"The band's new CD is close to completion, but we need your help! 12 tracks of new original music guaranteed to ""Get Your Happy On""!",https://www.kickstarter.com/projects/1038653888/the-norman-jackson-band-new-cd?ref=ending_soon,Music,Blues,"Springfield, MO",Missouri,Springfield,North America,usd,The Norman Jackson Band,0,2,1,0,0,0.5,4775,2000,usd,30,0,216,1,0,0,0,0
Survival Guide For The Stay At Home Dad,I have created the ultimate survival guide for stay at home parents. Its a book for dads approved by moms.,https://www.kickstarter.com/projects/1039538963/survival-guide-for-the-stay-at-home-dad?ref=ending_soon,Publishing,Nonfiction,"Queen Creek, AZ",Arizona,Queen Creek,North America,usd,Kalilimoku hunt,1,67,2,0,0,0,585,5000,usd,30,0,194,1,0,2,0,0
AfroDistrict Radio Talk Show,"AfroDistrict is a talk show that gives voice to Africans, their culture, current economic and political issues.",https://www.kickstarter.com/projects/1040258281/afrodistrict-radio-talk-show?ref=ending_soon,Journalism,Audio,"Silver Spring, MD",Maryland,Silver Spring,North America,usd,Julius Gotez,4,2,1,0,0,0.5,0,18500,usd,41,0,442,0,0,2,0,0
Lit Literature: The Phenomenal Creation of Stories,I'm an unheard voice in the writing community that tells incredible stories. I want to publish my stories so everybody can read them :),https://www.kickstarter.com/projects/1040463564/lit-literature-the-phenomenal-creation-of-stories?ref=ending_soon,Publishing,Fiction,"Kenosha, WI",Wisconsin,Kenosha,North America,usd,Michael Salinas,0,2,1,0,0,0.5,261,2500,usd,30,0,272,0,0,0,0,0
"Clickio: We make it, you build it","The first student made modular wearable! Click in gender, emoji or animal attachments into the Acceptor to make your very own Clickio.",https://www.kickstarter.com/projects/104095/clickio-we-make-it-you-build-it?ref=ending_soon,Fashion,Accessories,"Santa Maria, CA",California,Santa Maria,North America,usd,Justin Fraser,16,74,2,2,0,1,0,2000,usd,30,0,509,1,0,11,0,1
What's So Funny?,Sketch Comedy web series based in Chicago.,https://www.kickstarter.com/projects/1044300810/whats-so-funny?ref=ending_soon,Film & Video,Comedy,"Chicago, IL",Illinois,Chicago,North America,usd,Torie & Ben,2,2,1,1,0,0.5,1051,7500,usd,30,0,986,0,5,3,0,1
Jeneus Clothing #NoRm4IdleThts!,Jeneus is the essence of intellectual fashion capturing your attention with vibrant colors intricate detail and hidden knowledge,https://www.kickstarter.com/projects/1044306101/jeneus-clothing-norm4idlethts?ref=ending_soon,Fashion,Apparel,"Port Orange, FL",Florida,Port Orange,North America,usd,Jeneus Clothing,0,2,1,0,0,0.5,1576,10000,usd,30,0,294,0,0,13,0,0
Human trafficking awareness film,"A brutal, unflinching look into the world of human trafficking told through one young victim's eyes conveyed through a short film.",https://www.kickstarter.com/projects/1046024207/human-trafficking-awareness-film?ref=ending_soon,Film & Video,Film & Video,"Greenville, SC",South Carolina,Greenville,North America,usd,Daljit Kalsi Jr,0,2,1,1,0,0.5,0,4500,usd,30,0,574,1,0,0,0,1
Insecticide Extermination - Reimagining Classic SHMUP Action,Insecticide: Extermination is a brand new shoot em up game with a classic retro arcade gameplay style!,https://www.kickstarter.com/projects/1046908503/insecticide-extermination-reimagining-classic-shmu?ref=ending_soon,Games,Games,"Oklahoma City, OK",Oklahoma,Oklahoma City,North America,usd,Kalvin Goodlow,7,2,1,0,0,0.5,76,45000,usd,45,0,890,1,0,12,0,0
Bringing More Soul to The City!,Everyone needs a good home cooked meal that can clear their minds of their hectic days and sooth their souls for a small price.,https://www.kickstarter.com/projects/1047311057/bringing-more-soul-to-the-city?ref=ending_soon,Food,Restaurants,"Benton Harbor, MI",Michigan,Benton Harbor,North America,usd,Kanisha,1,2,1,0,0,0.5,0,15000,usd,30,0,209,0,0,0,0,0
Uni Car Mount - Universal phone mount for your car.,A completely universal magnetic car mount for iPhone and Android phones! Designed to keep you hands free and line of vision clear.,https://www.kickstarter.com/projects/1049870600/uni-car-mount-the-best-universal-smartphone-mount?ref=ending_soon,Technology,Gadgets,"Milwaukee, WI",Wisconsin,Milwaukee,North America,usd,BiKASE,3,113,3,3,0,1,635,7000,usd,36,0,538,1,1,19,0,1
KeezEd Tech,Revolutionary nutrition-planning software for eating disorders,https://www.kickstarter.com/projects/1050418559/keezed-tech?ref=ending_soon,Technology,Apps,"Dallas, TX",Texas,Dallas,North America,usd,Alexis,0,2,1,0,0,0.5,0,150000,usd,30,0,837,0,0,0,1,0
Bombtistic Bath Bombs-Anthony Granger Dormain Young Jasmine,"We created Bombtistic bath bombs in order to help people relax after a long day of work or school, while benefiting the body.",https://www.kickstarter.com/projects/1051758742/bombtistic-bath-bombs-anthony-granger-dormain-youn?ref=ending_soon,Crafts,Crafts,"Tallahassee, FL",Florida,Tallahassee,North America,usd,Dormain Young Jas Staten Ant Granger,0,2,1,0,0,0.5,0,500,usd,30,0,186,1,0,0,0,0
Waffles vs Pancakes - Settling the ancient debate,"In this simple, yet important, Kickstarter, I will try to settle the age old question... Which is better: waffles or pancakes?",https://www.kickstarter.com/projects/1051904316/waffles-vs-pancakes-settling-the-ancient-debate?ref=ending_soon,Fashion,Apparel,"Detroit, MI",Michigan,Detroit,North America,usd,Alex Hackert,0,2,1,0,0,0.5,954,1000,usd,40,0,156,0,0,0,0,0
O-Snap,THE FIRST EVER ALL IN ONE PHONE GADGET.,https://www.kickstarter.com/projects/1052271771/o-snap?ref=ending_soon,Technology,Gadgets,"Manhattan, NY",New York,Manhattan,North America,usd,Fuad Odatalla,0,2,1,0,0,0.5,0,10000,usd,33,0,112,1,0,0,1,0
Daggermond,"MMO Fantasy Sandbox, based in a post-apocalyptic world. Destroyed by science, thousands of years later, leaving fate to magic.",https://www.kickstarter.com/projects/1052907846/daggermond?ref=ending_soon,Games,Video Games,"Stevens Point, WI",Wisconsin,Stevens Point,North America,usd,David Payne,0,2,1,0,0,0.5,81,20000,usd,30,0,1070,1,0,3,0,0
Black Bird / Custom Parts for LEGO Technic,Black Bird Custom parts - a molded plastic rims with a holder for LEGO Technic Axle with individual hand painting and rubber tyres.,https://www.kickstarter.com/projects/1053978521/black-bird-custom-parts-for-lego-technic?ref=ending_soon,Design,Product Design,"New York, NY",New York,New York,North America,usd,MIK Projects Group,0,2,1,0,0,0.5,0,29800,usd,45,0,292,1,0,10,0,0
Spilled Whiskey Band recording debut,"Time to get in the studio! This is a full length album of 8-10 songs, 4 of which are originals & can only be heard live at this time!",https://www.kickstarter.com/projects/1055784375/spilled-whiskey-band-recording-debut?ref=ending_soon,Music,Country & Folk,"Round Rock, TX",Texas,Round Rock,North America,usd,Spilled Whiskey Band,0,2,1,1,0,0.5,0,1500,usd,45,0,237,1,0,0,0,1
The Art of HEART,Get your tickets to the ball! The Art of HEART is a book of visual development for HEART: A Trans Femme Space Opera Extravaganza,https://www.kickstarter.com/projects/1055956551/the-art-of-heart?ref=ending_soon,Comics,Graphic Novels,"Richmond, VA",Virginia,Richmond,North America,usd,Jupiter Schultz,7,2,1,1,0,0.5,771,750,usd,35,0,380,0,0,5,0,1
Power Plant Organic Eggplant Jerky,"Power Plant is a delicious, savory plant-based snack made with organic eggplants. 100% vegan, gluten-free, and soy-free.",https://www.kickstarter.com/projects/1056871014/power-plant-organic-eggplant-jerky?ref=ending_soon,Food,Vegan,"Los Angeles, CA",California,Los Angeles,North America,usd,Paul Sprangers,6,168,1,1,0,0.5,1374,15000,usd,30,0,822,0,0,10,0,1
