campaignTitle,title_word_ct,title_word_match,title_word_score,blurb_word_ct,blurb_word_match,blurb_word_score
F(r)iction #7 - A Fine Art & Literature Collection,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00
Design Canada,1.10E+01,2.00E+00,2.90E+01,1.70E+01,6.00E+00,6.84E+02
New HyperKid Book - The Cyborg at the End of the Universe,3.00E+00,2.00E+00,2.50E+01,2.00E+01,9.00E+00,5.49E+02
This Land is Our Land,1.20E+01,2.00E+00,8.30E+01,2.60E+01,1.30E+01,6.12E+02
Gellie's Treats and Eats,6.00E+00,3.00E+00,1.80E+01,2.30E+01,1.10E+01,5.97E+02
Antilibraries: Codex Libri,6.00E+00,2.00E+00,2.00E+00,2.50E+01,1.10E+01,2.52E+03
The Adventures of Joey & Friends | Animated Series,4.00E+00,1.00E+00,3.00E+00,2.30E+01,1.50E+01,1.90E+03
The Mysterious Murder of Angston Levi III,9.00E+00,5.00E+00,4.80E+01,2.50E+01,1.40E+01,1.29E+03
12 Piece Passover Afikoman Puzzle,8.00E+00,2.00E+00,8.00E+00,1.90E+01,4.00E+00,8.80E+01
Aqualogue: Aquaponics Education + Research in Chicago,6.00E+00,2.00E+00,6.00E+00,2.50E+01,8.00E+00,2.26E+02
The Adventures of Webzy,8.00E+00,4.00E+00,8.00E+00,2.00E+01,1.10E+01,2.21E+02
"Water Filter for Two, Three, or Five Gallon Bottles",5.00E+00,1.00E+00,7.00E+00,2.70E+01,1.30E+01,8.56E+02
ALASKA SHARKS - Fund Critical Conservation and Advocacy,1.00E+01,5.00E+00,4.00E+01,2.30E+01,1.00E+01,2.90E+02
Mentor Link Connection,8.00E+00,2.00E+00,4.00E+00,2.00E+01,1.10E+01,7.12E+02
"Pilot ""Who is Martin""",4.00E+00,2.00E+00,8.00E+00,2.10E+01,1.10E+01,7.86E+02
Madhu & Alex - The Smi Brothers,5.00E+00,2.00E+00,8.00E+00,2.80E+01,1.00E+01,1.08E+03
"""Where I Stand""",7.00E+00,2.00E+00,5.00E+00,2.10E+01,1.20E+01,3.00E+02
Shea Butter Souffle (Whipped Shea Butter),4.00E+00,2.00E+00,3.80E+01,1.30E+01,6.00E+00,6.88E+02
Ninja Bounce (kids entertainment center),7.00E+00,2.00E+00,6.00E+00,1.70E+01,4.00E+00,1.42E+02
"Natural Mosquito Repellent Soaps, Lotions and So Much More",6.00E+00,3.00E+00,2.00E+01,2.60E+01,1.60E+01,2.28E+03
"Rough Cut Cartel Gems, Jewelry and ""Dog-stones""",1.00E+01,2.00E+00,5.70E+01,1.90E+01,1.10E+01,5.86E+02
New Tech Company Starting Facebook Page Business,9.00E+00,2.00E+00,2.00E+00,2.60E+01,1.10E+01,2.51E+02
The Desert of When - Noonday Crawlers Studio Release,8.00E+00,6.00E+00,1.80E+01,2.50E+01,1.30E+01,8.58E+02
Rhythamatrix Blends: Modern Indigenous Healings Part 2,9.00E+00,4.00E+00,3.30E+01,2.60E+01,1.20E+01,7.60E+02
It's on us: The Stories of Public School Librarians,8.00E+00,4.00E+00,2.00E+01,2.30E+01,1.30E+01,1.52E+03
Color by Amanda Norman,1.10E+01,3.00E+00,1.80E+01,1.60E+01,9.00E+00,2.29E+02
The Glass Die,5.00E+00,2.00E+00,8.00E+00,1.90E+01,1.20E+01,6.69E+02
"Nowhere, Michigan - In Post Production Now!",4.00E+00,1.00E+00,5.00E+00,2.40E+01,1.30E+01,3.01E+03
Byoba: Bottled Boba Tea on the go!,7.00E+00,2.00E+00,7.00E+00,1.90E+01,5.00E+00,3.40E+01
Jumping Out Book,8.00E+00,0.00E+00,0.00E+00,1.80E+01,4.00E+00,7.70E+01
"Music Makers, World Shakers!",4.00E+00,1.00E+00,7.60E+01,2.90E+01,1.30E+01,8.49E+02
The Norman Jackson Band New CD,5.00E+00,3.00E+00,2.09E+02,2.20E+01,1.20E+01,4.61E+02
Survival Guide For The Stay At Home Dad,7.00E+00,2.00E+00,1.10E+01,2.70E+01,1.10E+01,2.63E+03
AfroDistrict Radio Talk Show,9.00E+00,4.00E+00,6.30E+01,2.10E+01,1.10E+01,4.26E+02
Lit Literature: The Phenomenal Creation of Stories,5.00E+00,3.00E+00,1.40E+01,1.80E+01,1.10E+01,7.87E+02
"Clickio: We make it, you build it",8.00E+00,2.00E+00,8.00E+00,2.50E+01,1.30E+01,8.90E+02
What's So Funny?,8.00E+00,2.00E+00,5.60E+01,2.30E+01,1.20E+01,1.90E+03
